RUN	STATUS	RUNTIME(s)	OUTPUT
6079	OK	98	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6079.root
6086	OK	676	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6086.root
6078	OK	1466	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6078.root
6087	OK	1563	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6087.root
6083	OK	2020	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6083.root
6080	OK	2041	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6080.root
6084	OK	2061	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6084.root
6082	OK	2092	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6082.root
6085	OK	2102	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6085.root
6088	OK	2026	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6088.root
6081	OK	2196	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6081.root
6090	OK	738	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6090.root
6098	OK	167	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6098.root
6099	OK	338	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6099.root
6097	OK	488	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6097.root
6102	OK	20	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6102.root
6089	OK	2049	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6089.root
6104	OK	13	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6104.root
6101	OK	373	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6101.root
6094	OK	1001	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6094.root
6091	OK	1597	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6091.root
6093	OK	1184	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6093.root
6096	OK	1173	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6096.root
6103	OK	699	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6103.root
6100	OK	1545	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6100.root
6092	OK	2066	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6092.root
6095	OK	2111	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6095.root
6105	OK	1689	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6105.root
6108	OK	1507	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6108.root
6106	OK	1960	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6106.root
6107	OK	2018	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6107.root
