RUN	STATUS	RUNTIME(s)	OUTPUT
6010	OK	71	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6010.root
6008	OK	619	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6008.root
6003	OK	679	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6003.root
6011	OK	886	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6011.root
6009	OK	966	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6009.root
6006	OK	1085	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6006.root
6012	OK	1103	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6012.root
6004	OK	1594	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6004.root
6020	OK	248	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6020.root
6007	OK	2072	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6007.root
6005	OK	2114	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6005.root
6013	OK	2051	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6013.root
6023	OK	82	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6023.root
6018	OK	1370	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6018.root
6026	OK	31	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6026.root
6014	OK	2000	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6014.root
6022	OK	580	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6022.root
6016	OK	1947	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6016.root
6015	OK	2200	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6015.root
6017	OK	2134	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6017.root
6019	OK	2083	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6019.root
6029	OK	567	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6029.root
6034	OK	31	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6034.root
6024	OK	1238	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6024.root
6032	OK	495	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6032.root
6033	OK	678	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6033.root
6038	OK	26	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6038.root
6021	OK	2082	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6021.root
6025	OK	2094	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6025.root
6027	OK	2021	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6027.root
6028	OK	2051	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6028.root
6037	OK	1370	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6037.root
6031	OK	2120	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6031.root
6030	OK	2205	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6030.root
6035	OK	2099	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6035.root
6036	OK	2043	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6036.root
