RUN	STATUS	RUNTIME(s)	OUTPUT
5027	OK	344	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_5027.root
5030	OK	3099	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_5030.root
5029	OK	3154	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_5029.root
5024	OK	3357	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_5024.root
5033	OK	3362	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_5033.root
5032	OK	3418	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_5032.root
5031	OK	3566	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_5031.root
5025	OK	1360	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_5025.root
5028	OK	3730	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_5028.root
5034	OK	3484	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_5034.root
5026	OK	2334	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_5026.root
5035	OK	3495	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_5035.root
5029	OK	3123	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_5029.root
5030	OK	3251	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_5030.root
5033	OK	3288	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_5033.root
5024	OK	3403	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_5024.root
5031	OK	3422	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_5031.root
5028	OK	3442	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_5028.root
5032	OK	3522	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_5032.root
5034	OK	3260	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_5034.root
5035	OK	3178	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_5035.root
