RUN	STATUS	RUNTIME(s)	OUTPUT	DATETIME
5002	OK	3	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_5002.root	Di 23. Jun 08:56:35 CEST 2026
5012	OK	9	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_5012.root	Di 23. Jun 08:57:32 CEST 2026
5010	OK	36	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_5010.root	Di 23. Jun 09:00:01 CEST 2026
5011	OK	40	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_5011.root	Di 23. Jun 09:00:35 CEST 2026
5008	OK	65	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_5008.root	Di 23. Jun 09:04:52 CEST 2026
5009	OK	110	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_5009.root	Di 23. Jun 09:07:52 CEST 2026
5008	OK	131	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_5008.root	Di 23. Jun 09:10:32 CEST 2026
5009	OK	152	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_5009.root	Di 23. Jun 09:12:05 CEST 2026
5004	OK	180	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_5004.root	Di 23. Jun 09:13:49 CEST 2026
5004	OK	196	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_5004.root	Di 23. Jun 09:18:27 CEST 2026
5003	OK	230	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_5003.root	Di 23. Jun 09:20:04 CEST 2026
5003	OK	238	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_5003.root	Di 23. Jun 09:24:33 CEST 2026
5006	OK	702	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_5006.root	Di 23. Jun 09:50:16 CEST 2026
5007	OK	724	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_5007.root	Di 23. Jun 09:51:11 CEST 2026
5005	OK	728	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_5005.root	Di 23. Jun 09:51:11 CEST 2026
5007	OK	533	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_5007.root	Di 23. Jun 09:51:59 CEST 2026
5006	OK	463	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_5006.root	Di 23. Jun 09:52:01 CEST 2026
5005	OK	499	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_5005.root	Di 23. Jun 09:52:08 CEST 2026
