RUN	STATUS	RUNTIME(s)	OUTPUT	DATETIME
2011	OK	2484	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2011.root	Mon Jun 22 02:33:42 PM CEST 2026
2012	OK	3985	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2012.root	Mon Jun 22 02:58:43 PM CEST 2026
2007	OK	7332	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2007.root	Mon Jun 22 03:54:30 PM CEST 2026
2013	OK	7412	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2013.root	Mon Jun 22 03:55:50 PM CEST 2026
2010	OK	7660	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2010.root	Mon Jun 22 03:59:58 PM CEST 2026
2009	OK	7773	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2009.root	Mon Jun 22 04:01:51 PM CEST 2026
2008	OK	7901	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2008.root	Mon Jun 22 04:03:59 PM CEST 2026
2006	OK	8598	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2006.root	Mon Jun 22 04:15:36 PM CEST 2026
2005	OK	8666	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2005.root	Mon Jun 22 04:16:44 PM CEST 2026
2004	OK	9326	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2004.root	Mon Jun 22 04:27:44 PM CEST 2026
